PeakID (cmd=annotatePeaks.pl tss mm10 -list ../data/raw/KDM5C_bound_allgerm_HOMER.txt -m E2F.motif -size -300,300)	Chr	Start	End	Strand	Not Used	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	CpG%	GC%	E2F Distance From Peak(sequence,strand,conservation)
NM_010787	chr17	46680821	46681421	+	0	NA	promoter-TSS (NM_010787)	promoter-TSS (NM_010787)	0	NM_010787	17256		NM_010787	ENSMUSG00000002768	Mea1	Mea-1	male enhanced antigen 1	protein-coding	0.075000	0.647255	-290(GCGGGA,-,0.00)
NM_153136	chr14	70577524	70578124	+	0	NA	promoter-TSS (NM_001360475)	promoter-TSS (NM_001360475)	0	NM_153136	213484		NM_153136	ENSMUSG00000045211	Nudt18	-	nudix hydrolase 18	protein-coding	0.083333	0.663894	
NM_029705	chr12	101957943	101958543	-	0	NA	promoter-TSS (NM_001167914)	promoter-TSS (NM_001167914)	0	NM_029705	110616		NM_029705	ENSMUSG00000021189	Atxn3	2210008M02Rik|ATX3|MJD1|Mjd|Sca3|ataxin-3	ataxin 3	protein-coding	0.090000	0.635607	-172(TCCCGC,+,0.00),273(TCCCGC,+,0.00)
NM_198601	chr14	106105898	106106498	+	0	NA	promoter-TSS (NM_198601)	promoter-TSS (NM_198601)	0	NM_198601	212085		NM_198601	ENSMUSG00000022113	Trim52	4921513B05Rik	tripartite motif-containing 52	protein-coding	0.056667	0.605657	
NM_001081336	chr14	78732429	78733029	-	0	NA	promoter-TSS (NM_001081336)	promoter-TSS (NM_001081336)	0	NM_001081336	380921		NM_001081336	ENSMUSG00000034731	Dgkh	5930402B05Rik|D130015C16|DGK	diacylglycerol kinase, eta	protein-coding	0.141667	0.770383	-97(GCGGGA,-,0.00),20(GCGGGA,-,0.00),102(GCGGGA,-,0.00)
NM_027061	chr11	98550797	98551397	+	0	NA	promoter-TSS (NM_001166495)	promoter-TSS (NM_001166495)	0	NM_027061	69376		NM_027061	ENSMUSG00000017195	Zpbp2	1700017D11Rik|2610022C02Rik|ZPBPL	zona pellucida binding protein 2	protein-coding	0.078333	0.638935	-115(GCGGGA,-,0.00)
NM_001191044	chr9	78395477	78396077	+	0	NA	promoter-TSS (NM_001191044)	promoter-TSS (NM_001191044)	0	NM_001191044	100048658		NM_001191044	ENSMUSG00000070291	Ddx43	-	DEAD box helicase 43	protein-coding	0.118333	0.667221	111(GCGGGA,-,0.00)
NM_010360	chr3	107895554	107896154	+	0	NA	promoter-TSS (NM_010360)	promoter-TSS (NM_010360)	0	NM_010360	14866		NM_010360	ENSMUSG00000004032	Gstm5	Fsc2	glutathione S-transferase, mu 5	protein-coding	0.055000	0.582363	
NM_029066	chr15	82298684	82299284	+	0	NA	promoter-TSS (NM_029066)	promoter-TSS (NM_029066)	0	NM_029066	74716		NM_029066	ENSMUSG00000022455	Wbp2nl	4930521I23Rik|PAWP	WBP2 N-terminal like	protein-coding	0.055000	0.610649	1(GCGGGA,-,0.00),178(TCCCGC,+,0.00)
NM_152818	chr11	3863603	3864203	-	0	NA	promoter-TSS (NM_001363163)	promoter-TSS (NM_001363163)	0	NM_152818	74309		NM_152818	ENSMUSG00000020435	Osbp2	1700095P05Rik|C630001G20Rik|Gm244|ORP-4|OSBPL1	oxysterol binding protein 2	protein-coding	0.098333	0.678869	-19(TCCCGC,+,0.00),84(TCCCGC,+,0.00),218(GCGGGA,-,0.00)
NM_010445	chr5	35388561	35389161	+	0	NA	promoter-TSS (NM_001363144)	promoter-TSS (NM_001363144)	0	NM_010445	15371		NM_010445	ENSMUSG00000067438	Hmx1	Nkx5-3	H6 homeobox 1	protein-coding	0.125000	0.757072	20(GCGGGA,-,0.00),48(TCCCGC,+,0.00)
NM_010029	chr13	112652010	112652610	-	0	NA	promoter-TSS (NM_001145885)	promoter-TSS (NM_001145885)	0	NM_010029	13206		NM_010029	ENSMUSG00000021758	Ddx4	Mvh|VASA	DEAD box helicase 4	protein-coding	0.108333	0.730449	-136(GCGGGA,-,0.00),184(TCCCGC,+,0.00)
NM_029267	chr1	55363453	55364053	-	0	NA	promoter-TSS (NM_001367887)	promoter-TSS (NM_001367887)	0	NM_029267	75388		NM_029267	ENSMUSG00000025977	Boll	4930554P13Rik|4930597B14Rik	boule homolog, RNA binding protein	protein-coding	0.086667	0.660566	
NM_178722	chr18	5334139	5334739	-	0	NA	promoter-TSS (NM_178722)	promoter-TSS (NM_178722)	0	NM_178722	240186		NM_178722	ENSMUSG00000050945	Zfp438	9430031G09|9430091M14Rik|B830013J05Rik	zinc finger protein 438	protein-coding	0.101667	0.650582	-20(TCCCGC,+,0.00)
NM_175214	chr13	58354647	58355247	-	0	NA	promoter-TSS (NM_001360894)	promoter-TSS (NM_001360894)	0	NM_175214	75050		NM_175214	ENSMUSG00000060176	Kif27	4930517I18Rik	kinesin family member 27	protein-coding	0.008333	0.366057	
NM_008301	chr12	76404070	76404670	+	0	NA	promoter-TSS (NM_008301)	promoter-TSS (NM_008301)	0	NM_008301	15512		NM_008301	ENSMUSG00000059970	Hspa2	70kDa|HSP70.2|HSP70A2|Hsp70-2	heat shock protein 2	protein-coding	0.075000	0.615641	
NM_054103	chr7	109438753	109439353	-	0	NA	promoter-TSS (NM_001355145)	promoter-TSS (NM_001355145)	0	NM_054103	117229		NM_054103	ENSMUSG00000031027	Stk33	4921505G21Rik	serine/threonine kinase 33	protein-coding	0.096667	0.668885	186(GCGGGA,-,0.00)
NM_198000	chr2	30801437	30802037	-	0	NA	promoter-TSS (NM_198000)	promoter-TSS (NM_198000)	0	NM_198000	73598		NM_198000	ENSMUSG00000044320	1700001O22Rik	1700113K14Rik|4930549G18Rik	RIKEN cDNA 1700001O22 gene	protein-coding	0.070000	0.622296	2(TCCCGC,+,0.00)
NM_019706	chr18	21001000	21001600	+	0	NA	promoter-TSS (NM_001303011)	promoter-TSS (NM_001303011)	0	NM_019706	56515		NM_019706	ENSMUSG00000024317	Rnf138	2410015A17Rik|2810480D20Rik|STRIN|Trif|Trif-d	ring finger protein 138	protein-coding	0.076667	0.630616	-85(GCGGGA,-,0.00)
