PeakID (cmd=annotatePeaks.pl tss mm10 -list ../data/raw/KDM5C_unbound_allgerm_HOMER.txt -m E2F.motif -size -300,300)	Chr	Start	End	Strand	Not Used	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	CpG%	GC%	E2F Distance From Peak(sequence,strand,conservation)
NM_001033782	chr7	41284027	41284627	+	0	NA	promoter-TSS (NM_001033782)	promoter-TSS (NM_001033782)	0	NM_001033782	434172		NM_001033782	ENSMUSG00000072259	Gm5592	EG434172	predicted gene 5592	protein-coding	0.006667	0.404326	
NR_028426	chr5	29735636	29736236	-	0	NA	promoter-TSS (NM_011847)	promoter-TSS (NM_011847)	0	NR_028426	332993		NR_028426	ENSMUSG00000053121	Gm5129	EG332993	predicted gene 5129	ncRNA	0.103333	0.647255	-228(TCCCGC,+,0.00),144(GCGGGA,-,0.00)
NM_133730	chr11	99322651	99323251	-	0	NA	promoter-TSS (NM_133730)	promoter-TSS (NM_133730)	0	NM_133730	70810		NM_133730	ENSMUSG00000035831	Krt25	4631426H08Rik|CK-25|K25|Ka38|Krt25a|mIRSa1	keratin 25	protein-coding	0.031667	0.512479	
NM_145399	chr13	23990914	23991514	-	0	NA	promoter-TSS (NM_145399)	promoter-TSS (NM_145399)	0	NM_145399	214189		NM_145399	ENSMUSG00000021337	Scgn	-	secretagogin, EF-hand calcium binding protein	protein-coding	0.045000	0.552413	
NM_172126	chr5	121521395	121521995	-	0	NA	promoter-TSS (NM_172126)	promoter-TSS (NM_172126)	0	NM_172126	280668		NM_172126	ENSMUSG00000072647	Adam1a	Adam1|Ftna	a disintegrin and metallopeptidase domain 1a	protein-coding	0.010000	0.435940	
NR_033785	chr18	49522989	49523589	+	0	NA	promoter-TSS (NR_033785)	promoter-TSS (NR_033785)	0	NR_033785	67321		NR_033785	ENSMUSG00000100297	1700044K03Rik	-	RIKEN cDNA 1700044K03 gene	ncRNA	0.018333	0.502496	
NM_183307	chr5	122137762	122138362	-	0	NA	promoter-TSS (NM_183307)	promoter-TSS (NM_183307)	0	NM_183307	330188		NM_183307	ENSMUSG00000043036	Ccdc63	4921511C16Rik	coiled-coil domain containing 63	protein-coding	0.015000	0.494176	
NM_001081312	chr4	121108917	121109517	-	0	NA	promoter-TSS (NM_001081312)	promoter-TSS (NM_001081312)	0	NM_001081312	69469		NM_001081312	ENSMUSG00000078577	Tmco2	1700028F16Rik	transmembrane and coiled-coil domains 2	protein-coding	0.011667	0.455907	
NM_027732	chr7	24869757	24870357	+	0	NA	promoter-TSS (NM_027732)	promoter-TSS (NM_027732)	0	NM_027732	71241		NM_027732	ENSMUSG00000011349	Dmrtc2	4933432E21Rik|Dmrt7	doublesex and mab-3 related transcription factor like family C2	protein-coding	0.071667	0.653910	17(GCGGGA,-,0.00),290(GCGGGA,-,0.00)
NM_173367	chrX	153558293	153558893	+	0	NA	promoter-TSS (NM_173367)	promoter-TSS (NM_173367)	0	NM_173367	69361		NM_173367	ENSMUSG00000048573	Cypt3	1700006H02Rik|Ckt1r1	cysteine-rich perinuclear theca 3	protein-coding	0.030000	0.485857	
NM_001164166	chr11	14598940	14599540	+	0	NA	promoter-TSS (NM_001164166)	promoter-TSS (NM_001164166)	0	NM_001164166	432536		NM_001164166	ENSMUSG00000084135	Pom121l12	1700054H16Rik	POM121 membrane glycoprotein-like 12	protein-coding	0.030000	0.517471	
NM_010116	chr7	43975761	43976361	+	0	NA	promoter-TSS (NM_010116)	promoter-TSS (NM_010116)	0	NM_010116	13648		NM_010116	ENSMUSG00000059042	Klk1b9	EGF-BP C|Egfbp-3|Egfbp3|KAL|Klk9|kallikrein|mGk-9	kallikrein 1-related peptidase b9	protein-coding	0.001667	0.577371	
NM_199306	chr4	133339015	133339615	-	0	NA	promoter-TSS (NM_199306)	promoter-TSS (NM_199306)	0	NM_199306	230796		NM_199306	ENSMUSG00000037622	Wdtc1	Gm695|adipose|adp	WD and tetratricopeptide repeats 1	protein-coding	0.103333	0.713810	-239(TCCCGC,+,0.00),0(GCGGGA,-,0.00)
NR_035431	chr8	84011333	84011933	-	0	NA	promoter-TSS (NM_001291292)	promoter-TSS (NM_001291292)	0	NR_035431	100316677		NR_035431	ENSMUSG00000080665	Mir1199	Mirn1199|mir-1199|mmu-mir-1199	microRNA 1199	ncRNA	0.116667	0.698835	-228(TCCCGC,+,0.00),-10(GCGGGA,-,0.00)
NM_027034	chr4	92146921	92147521	-	0	NA	promoter-TSS (NM_027034)	promoter-TSS (NM_027034)	0	NM_027034	69314		NM_027034	ENSMUSG00000028533	Izumo3	1700011H22Rik	IZUMO family member 3	protein-coding	0.000000	0.400998	
NM_008432	chr8	25849323	25849923	+	0	NA	promoter-TSS (NM_008432)	promoter-TSS (NM_008432)	0	NM_008432	16532		NM_008432	ENSMUSG00000031576	Kcnu1	Kcnma3|Slo3|mSlo3	potassium channel, subfamily U, member 1	protein-coding	0.018333	0.467554	
NM_010628	chr9	110476658	110477258	+	0	NA	promoter-TSS (NM_001163569)	promoter-TSS (NM_001163569)	0	NM_010628	16578		NM_010628	ENSMUSG00000032489	Kif9	-	kinesin family member 9	protein-coding	0.050000	0.537438	
NM_008602	chr18	77064908	77065508	+	0	NA	promoter-TSS (NM_001164167)	promoter-TSS (NM_001164167)	0	NM_008602	17344		NM_008602	ENSMUSG00000025423	Pias2	ARIP3|DIP|Dib|Miz1|PIASxalpha|PIASxalpha6|PIASxb|PIASxbeta|SIZ2	protein inhibitor of activated STAT 2	protein-coding	0.140000	0.755408	-11(GCGGGA,-,0.00),-4(TCCCGC,+,0.00),178(GCGGGA,-,0.00),277(GCGGGA,-,0.00)
NM_177738	chr6	90300919	90301519	+	0	NA	promoter-TSS (NM_177738)	promoter-TSS (NM_177738)	0	NM_177738	243535		NM_177738	ENSMUSG00000049694	BC048671	-	cDNA sequence BC048671	protein-coding	0.001667	0.437604	
NM_001039240	chrX	60455895	60456495	-	0	NA	promoter-TSS (NM_001039240)	promoter-TSS (NM_001039240)	0	NM_001039240	631784		NM_001039240	ENSMUSG00000079583	Gm7073	-	predicted gene 7073	protein-coding	0.006667	0.470882	
NM_026092	chr18	4165532	4166132	+	0	NA	promoter-TSS (NM_026092)	promoter-TSS (NM_026092)	0	NM_026092	67328		NM_026092	ENSMUSG00000024233	Lyzl1	1700038F02Rik|Lyc2|Lyzd1	lysozyme-like 1	protein-coding	0.003333	0.437604	
NM_027708	chr5	137624778	137625378	-	0	NA	promoter-TSS (NM_027708)	promoter-TSS (NM_027708)	0	NM_027708	71176		NM_027708	ENSMUSG00000089984	Fbxo24	4933422D21Rik|Fbx24	F-box protein 24	protein-coding	0.010000	0.560732	
NM_001100394	chr11	30471529	30472129	-	0	NA	promoter-TSS (NM_001100394)	promoter-TSS (NM_001100394)	0	NM_001100394	75087		NM_001100394	ENSMUSG00000040919	4930505A04Rik	-	RIKEN cDNA 4930505A04 gene	protein-coding	0.016667	0.499168	
NR_029786	chr14	115043700	115044300	+	0	NA	promoter-TSS (NR_029815)	promoter-TSS (NR_029815)	0	NR_029786	723891		NR_029786	ENSMUSG00000065416	Mir19a	Mirn19a|mir-19a|mmu-mir-19a	microRNA 19a	ncRNA	0.026667	0.489185	
NM_029203	chrX	37244692	37245292	+	0	NA	promoter-TSS (NM_029203)	promoter-TSS (NM_029203)	0	NM_029203	75199		NM_029203	ENSMUSG00000051827	Rhox2a	4930539I12Rik|Rhox2|Rhox2.1	reproductive homeobox 2A	protein-coding	0.023333	0.490849	
NM_029131	chr14	44171071	44171671	-	0	NA	promoter-TSS (NM_029131)	promoter-TSS (NM_029131)	0	NM_029131	74954		NM_029131	ENSMUSG00000072595	4930503E14Rik	-	RIKEN cDNA 4930503E14 gene	protein-coding	0.006667	0.439268	
NM_011444	chr6	144209268	144209868	-	0	NA	promoter-TSS (NM_001113559)	promoter-TSS (NM_001113559)	0	NM_011444	20678		NM_011444	ENSMUSG00000041540	Sox5	A730017D01Rik	SRY (sex determining region Y)-box 5	protein-coding	0.015000	0.499168	
NR_029717	chr1	23291401	23292001	+	0	NA	promoter-TSS (NR_029717)	promoter-TSS (NR_029717)	0	NR_029717	723964		NR_029717	ENSMUSG00000065567	Mir30c-2	Mirn30c-2|mir-30c-2	microRNA 30c-2	ncRNA	0.011667	0.440932	
NM_177589	chr9	121276872	121277472	-	0	NA	promoter-TSS (NM_177589)	promoter-TSS (NM_177589)	0	NM_177589	209012		NM_177589	ENSMUSG00000040936	Ulk4	4932415A06Rik|A730098P15	unc-51-like kinase 4	protein-coding	0.065000	0.565724	-62(TCCCGC,+,0.00)
NM_198958	chr17	3695961	3696561	-	0	NA	promoter-TSS (NM_198958)	promoter-TSS (NM_198958)	0	NM_198958	224480		NM_198958	ENSMUSG00000023802	Nox3	GP91-3|het|nmf250	NADPH oxidase 3	protein-coding	0.015000	0.397671	
NM_001145060	chr17	40914050	40914650	-	0	NA	promoter-TSS (NM_001145060)	promoter-TSS (NM_001145060)	0	NM_001145060	435528		NM_001145060	ENSMUSG00000091043	Glyatl3	EG435528|Gm5683	glycine-N-acyltransferase-like 3	protein-coding	0.005000	0.400998	
NM_029799	chr17	56299986	56300586	-	0	NA	promoter-TSS (NM_029799)	promoter-TSS (NM_029799)	0	NM_029799	76920		NM_029799	ENSMUSG00000073380	Arrdc5	1700013E09Rik	arrestin domain containing 5	protein-coding	0.030000	0.505824	
NM_029163	chr2	126783160	126783760	-	0	NA	promoter-TSS (NM_029163)	promoter-TSS (NM_029163)	0	NM_029163	75083		NM_029163	ENSMUSG00000027364	Usp50	1700086G18Rik|4930511O11Rik	ubiquitin specific peptidase 50	protein-coding	0.016667	0.487521	
NM_027174	chr15	72033927	72034527	-	0	NA	promoter-TSS (NM_027174)	promoter-TSS (NM_027174)	0	NM_027174	69700		NM_027174	ENSMUSG00000079022	Col22a1	2310067L16Rik	collagen, type XXII, alpha 1	protein-coding	0.021667	0.580699	
NM_001033362	chrX	101263692	101264292	-	0	NA	promoter-TSS (NM_001317221)	promoter-TSS (NM_001317221)	0	NM_001033362	245536		NM_001033362	ENSMUSG00000090141	Gm614	-	predicted gene 614	protein-coding	0.003333	0.484193	
NM_009620	chr12	81421739	81422339	-	0	NA	promoter-TSS (NM_009620)	promoter-TSS (NM_009620)	0	NM_009620	11498		NM_009620	ENSMUSG00000072972	Adam4	tMDCV	a disintegrin and metallopeptidase domain 4	protein-coding	0.003333	0.379368	
NM_027588	chr12	10369671	10370271	+	0	NA	promoter-TSS (NM_001310582)	promoter-TSS (NM_001310582)	0	NM_027588	70881		NM_027588	ENSMUSG00000020622	Nt5c1b	4921514H13Rik|AIRP|CN-IB|cN1B	5'-nucleotidase, cytosolic IB	protein-coding	0.005000	0.379368	
NM_029974	chr3	89364953	89365553	-	0	NA	promoter-TSS (NM_029974)	promoter-TSS (NM_029974)	0	NM_029974	77772		NM_029974	ENSMUSG00000042672	Dcst1	A330106H01Rik	DC-STAMP domain containing 1	protein-coding	0.030000	0.562396	
NM_026263	chr5	114853414	114854014	+	0	NA	promoter-TSS (NM_026263)	promoter-TSS (NM_026263)	0	NM_026263	67593		NM_026263	ENSMUSG00000029564	4930519G04Rik	1700014B12Rik	RIKEN cDNA 4930519G04 gene	protein-coding	0.015000	0.520799	
NR_033580	chrX	107542282	107542882	+	0	NA	promoter-TSS (NR_033580)	promoter-TSS (NR_033580)	0	NR_033580	71011		NR_033580	ENSMUSG00000121636	4933401B06Rik	-	GLE1 RNA export mediator pseudogene	pseudo	0.008333	0.485857	
NM_001166164	chr16	17646170	17646770	+	0	NA	promoter-TSS (NM_001166164)	promoter-TSS (NM_001166164)	0	NM_001166164	72315		NM_001166164	ENSMUSG00000041617	Ccdc74a	2310015A05Rik	coiled-coil domain containing 74A	protein-coding	0.101667	0.675541	144(TCCCGC,+,0.00)
NM_001081657	chrX	24774864	24775464	-	0	NA	promoter-TSS (NM_001081657)	promoter-TSS (NM_001081657)	0	NM_001081657	546282		NM_001081657	ENSMUSG00000093923	Gm5935	EG546282	predicted gene 5935	protein-coding	0.011667	0.459235	
NM_001004158	chr14	59178449	59179049	-	0	NA	promoter-TSS (NM_001004158)	promoter-TSS (NM_001004158)	0	NM_001004158	380907		NM_001004158	ENSMUSG00000053868	Gm5142	EG380907	predicted gene 5142	protein-coding	0.005000	0.522463	
NM_026351	chr17	80215614	80216214	+	0	NA	promoter-TSS (NM_026351)	promoter-TSS (NM_026351)	0	NM_026351	67737		NM_026351	ENSMUSG00000046196	Ttc39d	4930560E09Rik	tetratricopeptide repeat domain 39D	protein-coding	0.015000	0.432612	
NM_028514	chrX	46328707	46329307	+	0	NA	promoter-TSS (NM_028514)	promoter-TSS (NM_028514)	0	NM_028514	73360		NM_028514	ENSMUSG00000046615	Actrt1	1700061J02Rik|Arp-T1	actin-related protein T1	protein-coding	0.005000	0.422629	
NM_007605	chr6	140041257	140041857	+	0	NA	promoter-TSS (NM_054066)	promoter-TSS (NM_054066)	0	NM_007605	12344		NM_007605	ENSMUSG00000041791	Capza3	510-4|Cappa3|Gsg3|Tex8|repro32	capping actin protein of muscle Z-line subunit alpha 3	protein-coding	0.013333	0.465890	
NM_133759	chr19	8802213	8802813	+	0	NA	promoter-TSS (NM_001098237)	promoter-TSS (NM_001098237)	0	NM_133759	75291		NM_133759	ENSMUSG00000071661	Zbtb3	4930563M09Rik	zinc finger and BTB domain containing 3	protein-coding	0.045000	0.562396	-198(GCGGGA,-,0.00),218(GCGGGA,-,0.00)
NR_029437	chr7	114414861	114415461	-	0	NA	promoter-TSS (NR_029437)	promoter-TSS (NR_029437)	0	NR_029437	71045		NR_029437	ENSMUSG00000087475	4933406I18Rik	4933403D24Rik	RIKEN cDNA 4933406I18 gene	ncRNA	0.145000	0.757072	-112(TCCCGC,+,0.00)
NM_001163385	chr3	138186413	138187013	-	0	NA	promoter-TSS (NM_001163385)	promoter-TSS (NM_001163385)	0	NM_001163385	67741		NM_001163385	ENSMUSG00000012042	4930579F01Rik	-	RIKEN cDNA 4930579F01 gene	protein-coding	0.013333	0.444260	
NM_011902	chr4	126325135	126325735	-	0	NA	promoter-TSS (NM_011902)	promoter-TSS (NM_011902)	0	NM_011902	24084		NM_011902	ENSMUSG00000028845	Tekt2	tektin-t	tektin 2	protein-coding	0.031667	0.577371	
NM_009435	chr16	17893903	17894503	+	0	NA	promoter-TSS (NM_009435)	promoter-TSS (NM_009435)	0	NM_009435	22114		NM_009435	ENSMUSG00000041566	Tssk1	Stk22a|TSK-1|Tsk1|Tssk|Tssk1b	testis-specific serine kinase 1	protein-coding	0.023333	0.529118	
NM_001009545	chr12	113489265	113489865	+	0	NA	promoter-TSS (NM_001009545)	promoter-TSS (NM_001009545)	0	NM_001009545	238405		NM_001009545	ENSMUSG00000051804	Adam6b	4930523C11Rik	a disintegrin and metallopeptidase domain 6B	protein-coding	0.008333	0.475874	
NR_033120	chr7	43944712	43945312	+	0	NA	promoter-TSS (NR_033120)	promoter-TSS (NR_033120)	0	NR_033120	16604		NR_033120	ENSMUSG00000121303	Klk1b7-ps	1700127D06Rik|Klk-ps2|mGK-7	kallikrein 1-related peptidase b7, pseudogene	pseudo	0.006667	0.530782	
NM_029472	chr10	75822243	75822843	-	0	NA	promoter-TSS (NM_029472)	promoter-TSS (NM_029472)	0	NM_029472	75886		NM_029472	ENSMUSG00000009093	Gstt4	4930583C14Rik	glutathione S-transferase, theta 4	protein-coding	0.013333	0.530782	
NM_027419	chr11	69900687	69901287	-	0	NA	promoter-TSS (NM_001291119)	promoter-TSS (NM_001291119)	0	NM_027419	70419		NM_027419	ENSMUSG00000018570	2810408A11Rik	1700019L01Rik|4930470J18Rik	RIKEN cDNA 2810408A11 gene	protein-coding	0.036667	0.559068	-22(GCGGGA,-,0.00)
NR_035417	chr2	10517304	10517904	+	0	NA	promoter-TSS (NR_035418)	promoter-TSS (NR_035418)	0	NR_035417	100316668		NR_035417	ENSMUSG00000080657	Mir669i	Mirn669i|mir-669i|mmu-mir-669i	microRNA 669i	ncRNA	0.008333	0.400998	
NM_001167913	chr17	13229963	13230563	+	0	NA	promoter-TSS (NM_001167913)	promoter-TSS (NM_001167913)	0	NM_001167913	236574		NM_001167913	ENSMUSG00000073457	Smok2b	Gm1847|Smok+129	sperm motility kinase 2B	protein-coding	0.010000	0.474210	
NM_001278943	chr7	120409347	120409947	+	0	NA	promoter-TSS (NM_001278943)	promoter-TSS (NM_001278943)	0	NM_001278943	233810		NM_001278943	ENSMUSG00000051900	Abca16	-	ATP-binding cassette, sub-family A member 16	protein-coding	0.020000	0.490849	
NM_001111118	chr12	11455755	11456355	+	0	NA	promoter-TSS (NM_001111118)	promoter-TSS (NM_001111118)	0	NM_001111118	209550		NM_001111118	ENSMUSG00000086022	Rad51ap2	EG209550	RAD51 associated protein 2	protein-coding	0.076667	0.653910	-12(GCGGGA,-,0.00),162(GCGGGA,-,0.00)
NM_031259	chrX	134964454	134965054	-	0	NA	promoter-TSS (NM_031259)	promoter-TSS (NM_031259)	0	NM_031259	83454		NM_031259	ENSMUSG00000009941	Nxf2	4930455N06Rik|Nxf-b	nuclear RNA export factor 2	protein-coding	0.053333	0.494176	186(TCCCGC,+,0.00)
NM_028847	chrX	91782676	91783276	-	0	NA	promoter-TSS (NM_028847)	promoter-TSS (NM_028847)	0	NM_028847	74271		NM_028847	ENSMUSG00000061392	Mageb5	1700056A17Rik|mMage-b5	MAGE family member B5	protein-coding	0.001667	0.389351	
NM_001177966	chrX	78369343	78369943	+	0	NA	promoter-TSS (NM_001177966)	promoter-TSS (NM_001177966)	0	NM_001177966	74910		NM_001177966	ENSMUSG00000035651	4930480E11Rik	-	RIKEN cDNA 4930480E11 gene	protein-coding	0.003333	0.402662	
NM_001081038	chr7	130773769	130774369	+	0	NA	promoter-TSS (NM_001374628)	promoter-TSS (NM_001374628)	0	NM_001081038	330660		NM_001081038	ENSMUSG00000040298	Btbd16	E330040A16Rik	BTB domain containing 16	protein-coding	0.013333	0.495840	
NM_026469	chrX	138209280	138209880	-	0	NA	promoter-TSS (NM_026469)	promoter-TSS (NM_026469)	0	NM_026469	67944		NM_026469	ENSMUSG00000071686	Tex13a	1700025D03Rik	testis expressed 13A	protein-coding	0.008333	0.502496	
NM_027985	chr4	148140190	148140790	+	0	NA	promoter-TSS (NM_027985)	promoter-TSS (NM_027985)	0	NM_027985	71890		NM_027985	ENSMUSG00000029003	Mad2l2	2310033C13Rik|G1-453-4|MAD2B|REV7|repro22	MAD2 mitotic arrest deficient-like 2	protein-coding	0.075000	0.625624	24(GCGGGA,-,0.00),169(GCGGGA,-,0.00),235(TCCCGC,+,0.00)
NM_026449	chr5	25181180	25181780	+	0	NA	promoter-TSS (NM_026449)	promoter-TSS (NM_026449)	0	NM_026449	67909		NM_026449	ENSMUSG00000028938	Galntl5	1700021B12Rik|Galnt15	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 5	protein-coding	0.003333	0.480865	
NM_145825	chr3	37312146	37312746	-	0	NA	promoter-TSS (NM_145825)	promoter-TSS (NM_145825)	0	NM_145825	207175		NM_145825	ENSMUSG00000045031	Cetn4	-	centrin 4	protein-coding	0.080000	0.645591	-103(TCCCGC,+,0.00)
NM_001039114	chr17	56874147	56874747	-	0	NA	promoter-TSS (NM_001039114)	promoter-TSS (NM_001039114)	0	NM_001039114	328845		NM_001039114	ENSMUSG00000024207	Acsbg2	Bgr	acyl-CoA synthetase bubblegum family member 2	protein-coding	0.010000	0.487521	
NM_009619	chr8	24725552	24726152	-	0	NA	promoter-TSS (NM_009619)	promoter-TSS (NM_009619)	0	NM_009619	11497		NM_009619	ENSMUSG00000031553	Adam3	Cyrn1|Taz83|tMDC	ADAM metallopeptidase domain 3	protein-coding	0.025000	0.530782	
NM_029489	chr3	30745993	30746593	+	0	NA	promoter-TSS (NM_029489)	promoter-TSS (NM_029489)	0	NM_029489	75953		NM_029489	ENSMUSG00000051860	Samd7	4930597A01Rik	sterile alpha motif domain containing 7	protein-coding	0.020000	0.455907	
NM_011913	chr19	10001333	10001933	-	0	NA	promoter-TSS (NM_011913)	promoter-TSS (NM_011913)	0	NM_011913	24115		NM_011913	ENSMUSG00000037418	Best1	Bmd|Vmd2|mBest1	bestrophin 1	protein-coding	0.005000	0.547421	
NM_026359	chr14	63987480	63988080	-	0	NA	promoter-TSS (NM_026359)	promoter-TSS (NM_026359)	0	NM_026359	67750		NM_026359	ENSMUSG00000021961	4930578I06Rik	-	RIKEN cDNA 4930578I06 gene	protein-coding	0.010000	0.499168	
NM_027024	chr2	148819799	148820399	+	0	NA	promoter-TSS (NM_027024)	promoter-TSS (NM_027024)	0	NM_027024	69294		NM_027024	ENSMUSG00000036924	Cst13	1700006C19Rik|Cymg1|Mtcg1	cystatin 13	protein-coding	0.000000	0.447587	
NR_002903	chrX	57391209	57391809	-	0	NA	promoter-TSS (NR_002903)	promoter-TSS (NR_002903)	0	NR_002903	353374		NR_002903	ENSMUSG00000065110	Snord61	MBII-342|Rnu61	small nucleolar RNA, C/D box 61	snoRNA	0.018333	0.376040	
NM_172966	chr18	42053410	42054010	+	0	NA	promoter-TSS (NM_172966)	promoter-TSS (NM_172966)	0	NM_172966	269016		NM_172966	ENSMUSG00000057719	Sh3rf2	2310046K19|9130023G24Rik|Ppp1r39|RNF158	SH3 domain containing ring finger 2	protein-coding	0.015000	0.520799	
NM_008123	chr3	96925751	96926351	-	0	NA	promoter-TSS (NM_008123)	promoter-TSS (NM_008123)	0	NM_008123	14616		NM_008123	ENSMUSG00000049908	Gja8	Aey5|Cnx50|Cx50|Cxnl|Lop10|dcm	gap junction protein, alpha 8	protein-coding	0.016667	0.507488	266(TCCCGC,+,0.00)
NM_183099	chr15	76374638	76375238	-	0	NA	promoter-TSS (NM_183099)	promoter-TSS (NM_183099)	0	NM_183099	73542		NM_183099	ENSMUSG00000060794	Tssk5	1700091F14Rik|TSK-5	testis-specific serine kinase 5	protein-coding	0.016667	0.539101	
NM_053208	chr7	27166502	27167102	-	0	NA	promoter-TSS (NM_053208)	promoter-TSS (NM_053208)	0	NM_053208	112406		NM_053208	ENSMUSG00000058709	Egln2	0610011A13Rik|Hif-p4h-1|Ier4|Phd1|SM-20	egl-9 family hypoxia-inducible factor 2	protein-coding	0.110000	0.673877	203(GCGGGA,-,0.00)
NM_001013767	chr17	45659009	45659609	-	0	NA	promoter-TSS (NM_001013767)	promoter-TSS (NM_001013767)	0	NM_001013767	268958		NM_001013767	ENSMUSG00000058626	Capn11	-	calpain 11	protein-coding	0.010000	0.537438	
NR_157388	chrX	70394440	70395040	-	0	NA	promoter-TSS (NR_157388)	promoter-TSS (NR_157388)	0	NR_157388	619303		NR_157388	ENSMUSG00000073141	4930567H17Rik	-	RIKEN cDNA 4930567H17 gene	ncRNA	0.008333	0.460899	
NM_026837	chr4	117251651	117252251	+	0	NA	promoter-TSS (NM_001285816)	promoter-TSS (NM_001285816)	0	NM_026837	68777		NM_026837	ENSMUSG00000048772	Tmem53	1110038M16Rik|1500001P22Rik|1700012A05Rik	transmembrane protein 53	protein-coding	0.073333	0.652246	76(GCGGGA,-,0.00),88(GCGGGA,-,0.00),271(TCCCGC,+,0.00)
NM_025271	chr4	56741125	56741725	-	0	NA	promoter-TSS (NM_025271)	promoter-TSS (NM_025271)	0	NM_025271	11471		NM_025271	ENSMUSG00000070980	Actl7b	Gm26657|Tact1	actin-like 7b	protein-coding	0.020000	0.535774	
NM_001099318	chrX	37453359	37453959	+	0	NA	promoter-TSS (NM_001099318)	promoter-TSS (NM_001099318)	0	NM_001099318	100039948		NM_001099318	ENSMUSG00000079637	Rhox2c	Rhox2.3|Rhox2b	reproductive homeobox 2C	protein-coding	0.021667	0.490849	
NR_035432	chr2	104428640	104429240	-	0	NA	promoter-TSS (NR_035432)	promoter-TSS (NR_035432)	0	NR_035432	100316678		NR_035432	ENSMUSG00000084516	Mir1902	Mirn1902|mmu-mir-1902	microRNA 1902	ncRNA	0.006667	0.357737	
NM_001128634	chr14	51918461	51919061	+	0	NA	promoter-TSS (NM_001128634)	promoter-TSS (NM_001128634)	0	NM_001128634	219038		NM_001128634	ENSMUSG00000008813	Tppp2	Gm1790|Gm77	tubulin polymerization-promoting protein family member 2	protein-coding	0.006667	0.515807	
NM_148940	chr9	110813694	110814294	+	0	NA	promoter-TSS (NM_148940)	promoter-TSS (NM_148940)	0	NM_148940	73336		NM_148940	ENSMUSG00000032493	Prss44	1700036D21Rik|79H19A|TESSP-4|Tessp4	serine protease 44	protein-coding	0.040000	0.560732	
NM_021318	chr4	25242552	25243152	-	0	NA	promoter-TSS (NM_021318)	promoter-TSS (NM_021318)	0	NM_021318	57756		NM_021318	ENSMUSG00000028259	Fhl5	1700027G07Rik|Act	four and a half LIM domains 5	protein-coding	0.006667	0.417637	
NM_009292	chr6	34920648	34921248	+	0	NA	promoter-TSS (NM_009292)	promoter-TSS (NM_009292)	0	NM_009292	20899		NM_009292	ENSMUSG00000029848	Stra8	-	stimulated by retinoic acid gene 8	protein-coding	0.030000	0.522463	
NM_026104	chr2	116878405	116879005	+	0	NA	promoter-TSS (NM_001379337)	promoter-TSS (NM_001379337)	0	NM_026104	67356		NM_026104	ENSMUSG00000027355	Tmco5	1700095F04Rik|Tmco5a	transmembrane and coiled-coil domains 5	protein-coding	0.010000	0.472546	
NM_027036	chr4	128260595	128261195	-	0	NA	promoter-TSS (NM_027036)	promoter-TSS (NM_027036)	0	NM_027036	69317		NM_027036	ENSMUSG00000048686	Hmgb4	1700001F22Rik	high-mobility group box 4	protein-coding	0.011667	0.464226	
NM_175031	chr1	74601155	74601755	+	0	NA	promoter-TSS (NM_021313)	promoter-TSS (NM_021313)	0	NM_175031	269209		NM_175031	ENSMUSG00000033276	Stk36	1700112N14Rik|B930045J24|FU|Fused|mKIAA1278	serine/threonine kinase 36	protein-coding	0.048333	0.555740	
NR_030604	chr4	94664857	94665457	+	0	NA	promoter-TSS (NR_030604)	promoter-TSS (NR_030604)	0	NR_030604	100124456		NR_030604	ENSMUSG00000077921	Mir872	Mirn872|mmu-mir-872	microRNA 872	ncRNA	0.003333	0.346090	
NM_008547	chr13	41070165	41070765	-	0	NA	promoter-TSS (NM_008547)	promoter-TSS (NM_008547)	0	NM_008547	17152		NM_008547	ENSMUSG00000021363	Mak	A930010O05Rik	male germ cell-associated kinase	protein-coding	0.015000	0.460899	
NM_029693	chr5	138564394	138564994	-	0	NA	promoter-TSS (NM_029693)	promoter-TSS (NM_029693)	0	NM_029693	76658		NM_029693	ENSMUSG00000029526	1700123K08Rik	-	RIKEN cDNA 1700123K08 gene	protein-coding	0.013333	0.520799	
NR_033616	chr10	60937832	60938432	-	0	NA	promoter-TSS (NR_033616)	promoter-TSS (NR_033616)	0	NR_033616	73616		NR_033616	ENSMUSG00000037247	Pldi	1700125F08Rik|Poldi	polymorphic derived intron containing	ncRNA	0.005000	0.482529	
NM_001029929	chr11	70459133	70459733	+	0	NA	promoter-TSS (NM_001348337)	promoter-TSS (NM_001348337)	0	NM_001029929	574428		NM_001029929	ENSMUSG00000040829	Zmynd15	-	zinc finger, MYND-type containing 15	protein-coding	0.065000	0.623960	-141(TCCCGC,+,0.00),-91(TCCCGC,+,0.00)
NM_145522	chr2	34799612	34800212	-	0	NA	promoter-TSS (NM_145522)	promoter-TSS (NM_145522)	0	NM_145522	227746		NM_145522	ENSMUSG00000070953	Rabepk	8430412M01Rik|9530020D24Rik|Rab9p40	Rab9 effector protein with kelch motifs	protein-coding	0.053333	0.580699	
